id,date_updated,vehicle_id,vehicle_label,vehicle_current_status,position_latitude,position_longitude,geographic_point,position_speed,position_odometer,trip_schedule_relationship,trip_id,trip_start_date,trip_route_id,alcaldia
169,2021-01-27 18:00:02,1078,705,1,19.47470092773437,-99.0885009765625,"19.4747009277,-99.0885009766",0,430,0,9741423,2020-04-28,61,Gustavo A. Madero
170,2021-01-27 18:00:02,1084,711,1,19.49810028076172,-99.16780090332033,"19.4981002808,-99.1678009033",13,217,0,9740759,2020-04-28,61,Azcapotzalco
171,2021-01-27 18:00:02,1100,727,1,19.50230026245117,-99.17859649658205,"19.5023002625,-99.1785964966",8,0,0,9740267,2020-04-28,61,Azcapotzalco
172,2021-01-27 18:00:02,1101,728,1,19.510400772094727,-99.19860076904295,"19.5104007721,-99.198600769",13,0,0,9740419,2020-04-28,61,Azcapotzalco
173,2021-01-27 18:00:02,1184,735,1,19.46929931640625,-99.08529663085938,"19.4692993164,-99.0852966309",12,503,2,0,,61,Gustavo A. Madero
174,2021-01-27 18:00:02,1110,757,0,19.511499404907227,-99.19760131835938,"19.5114994049,-99.1976013184",6,0,0,9740359,2020-04-28,61,Azcapotzalco
175,2021-01-27 18:00:02,1112,759,1,19.49620056152344,-99.1594009399414,"19.4962005615,-99.1594009399",1,0,0,9740199,2020-04-28,61,Azcapotzalco
176,2021-01-27 18:00:02,1126,773,1,19.483800888061523,-99.11190032958984,"19.4838008881,-99.1119003296",6,0,0,9739879,2020-04-28,61,Gustavo A. Madero
177,2021-01-27 18:00:02,1130,782,1,19.467300415039062,-99.08070373535156,"19.467300415,-99.0807037354",6,0,0,9739615,2020-04-28,61,Gustavo A. Madero
178,2021-01-27 18:00:02,701,801,0,19.47249984741211,-99.12339782714844,"19.4724998474,-99.1233978271",8,0,0,9672458,2020-04-28,171,Gustavo A. Madero
179,2021-01-27 18:00:02,717,817,1,19.488000869750977,-99.1144027709961,"19.4880008698,-99.114402771",5,621,0,9673076,2020-04-28,171,Gustavo A. Madero
180,2021-01-27 18:00:02,720,820,1,19.46470069885254,-99.12629699707033,"19.4647006989,-99.1262969971",3,0,0,9673458,2020-04-28,171,Gustavo A. Madero
181,2021-01-27 18:00:02,721,821,0,19.435199737548828,-99.15019989013672,"19.4351997375,-99.1501998901",0,0,0,9673925,2020-04-28,171,Cuauhtémoc
182,2021-01-27 18:00:02,728,828,0,19.42569923400879,-99.17050170898438,"19.425699234,-99.170501709",11,0,0,9671558,2020-04-28,171,Cuauhtémoc
183,2021-01-27 18:00:02,737,837,0,19.486799240112305,-99.11799621582033,"19.4867992401,-99.1179962158",6,0,0,9672362,2020-04-28,171,Gustavo A. Madero
184,2021-01-27 18:00:02,746,846,0,19.42399978637696,-99.17990112304688,"19.4239997864,-99.179901123",7,0,0,9671270,2020-04-28,171,Miguel Hidalgo
185,2021-01-27 18:00:02,754,906,1,19.487199783325195,-99.11380004882812,"19.4871997833,-99.1138000488",0,534,0,9670893,2020-04-28,171,Gustavo A. Madero
186,2021-01-27 18:00:02,758,910,1,19.493099212646484,-99.12090301513672,"19.4930992126,-99.1209030151",0,1549,0,9672717,2020-04-28,171,Gustavo A. Madero
187,2021-01-27 18:00:02,764,916,1,19.42690086364746,-99.19979858398438,"19.4269008636,-99.199798584",0,364,2,0,,0,Miguel Hidalgo
188,2021-01-27 18:00:02,777,929,1,19.492000579833984,-99.12030029296876,"19.4920005798,-99.120300293",0,1412,0,9672021,2020-04-28,171,Gustavo A. Madero
189,2021-01-27 18:00:02,523,1011,1,19.42729949951172,-99.1613998413086,"19.4272994995,-99.1613998413",2,0,2,0,,367,Cuauhtémoc
190,2021-01-27 18:00:02,533,1059,1,19.296499252319336,-99.1852035522461,"19.2964992523,-99.1852035522",12,511,0,9732194,2020-04-28,367,Tlalpan
191,2021-01-27 18:00:02,1254,1065,1,19.27910041809082,-99.16919708251952,"19.2791004181,-99.1691970825",0,428,2,0,,0,Tlalpan
192,2021-01-27 18:00:02,1256,1067,1,19.499000549316406,-99.11959838867188,"19.4990005493,-99.1195983887",0,0,2,0,,0,Gustavo A. Madero
193,2021-01-27 18:00:02,1044,1084,1,19.36459922790528,-99.18199920654295,"19.3645992279,-99.1819992065",0,483,2,0,,367,Benito Juárez
194,2021-01-27 18:00:02,1248,1121,0,19.447099685668945,-99.1530990600586,"19.4470996857,-99.1530990601",0,0,0,9733596,2020-04-28,367,Cuauhtémoc
195,2021-01-27 18:00:02,1284,1256,1,19.44129943847656,-99.15489959716795,"19.4412994385,-99.1548995972",2,257,2,0,,367,Cuauhtémoc
196,2021-01-27 18:00:02,1072,1309,0,19.49760055541992,-99.11940002441406,"19.4976005554,-99.1194000244",0,0,2,0,,0,Gustavo A. Madero
197,2021-01-27 18:00:02,1216,2315,1,19.38909912109375,-99.04949951171876,"19.3890991211,-99.0494995117",9,183,0,9737719,2020-04-28,301,Iztapalapa
198,2021-01-27 18:00:02,1218,2317,1,19.393600463867188,-99.13200378417967,"19.3936004639,-99.1320037842",9,507,0,9737108,2020-04-28,301,Benito Juárez
199,2021-01-27 18:00:02,1225,2341,1,19.3976993560791,-99.10880279541016,"19.3976993561,-99.1088027954",6,0,0,9735764,2020-04-28,301,Iztacalco
200,2021-01-27 18:00:02,1226,2342,1,19.389299392700195,-99.05919647216795,"19.3892993927,-99.0591964722",0,1845,2,0,,0,Iztapalapa
201,2021-01-27 18:00:02,1227,2343,1,19.39579963684082,-99.09320068359376,"19.3957996368,-99.0932006836",13,331,0,9737294,2020-04-28,301,Iztacalco
202,2021-01-27 18:00:02,1238,2347,1,19.403499603271484,-99.1698989868164,"19.4034996033,-99.1698989868",7,0,0,9736129,2020-04-28,301,Cuauhtémoc
203,2021-01-27 18:00:02,1024,2351,1,19.390899658203125,-99.04730224609376,"19.3908996582,-99.0473022461",0,0,0,9737808,2020-04-28,301,Iztapalapa
204,2021-01-27 18:00:02,10002,2358,1,19.397300720214844,-99.10459899902344,"19.3973007202,-99.104598999",7,0,0,9737246,2020-04-28,301,Iztacalco
205,2021-01-27 18:00:02,1232,2363,1,19.39389991760254,-99.1374969482422,"19.3938999176,-99.1374969482",14,0,0,9735896,2020-04-28,301,Benito Juárez
206,2021-01-27 18:00:02,1235,2366,1,19.39509963989257,-99.1457977294922,"19.3950996399,-99.1457977295",0,276,0,9736965,2020-04-28,301,Benito Juárez
